Source,Target
383498,209112
383498,155
383498,272
383498,49521
383498,293660
402900,1572
402900,949
402900,75656
402900,259316
402900,489931
466282,43923
466282,449176
466282,308369
466282,9880
466282,12689
363088,99861
363088,141052
363088,1924
363088,364
363088,1452
462919,64255
462919,2976
462919,621
462919,224141
462919,429417
454983,449176
454983,49022
454983,84892
454983,101299
454983,9769
293660,141052
293660,1924
293660,1452
293660,8536
293660,9531
455980,460019
455980,380
455980,254470
455980,260514
455980,390043
283995,299536
283995,1924
283995,1452
283995,8536
283995,9531
354912,228326
354912,4011
354912,745
354912,6477
177572,479
177572,281957
177572,73
177572,2048
177572,238636
269149,278927
269149,101299
269149,338970
269149,346364
487558,1883
487558,389015
487558,769
487558,424
487558,399404
150540,812
150540,260513
150540,12092
150540,11360
150540,2300
455207,8966
455207,9880
455207,449176
455207,466282
455207,454983
194662,98566
194662,272
194662,49026
194662,14
194662,155
460668,2062
460668,694
460668,745
460668,453
460668,433
20352,342473
20352,15739
20352,93456
20352,309809
20352,20497
420814,769
420814,424
420814,316029
420814,324786
420814,389015
291805,467938
291805,260346
291805,281957
291805,241554
291805,357096
400155,49017
400155,277
400155,7131
400155,24021
400155,2907
437557,376660
437557,14
207703,1726
207703,99861
207703,102899
207703,68721
207703,49521
445571,275
445571,473149
445571,309809
445571,984
445571,270487
458423,224141
458423,11224
458423,812
458423,621
458423,11631
313369,525
313369,10947
313369,342473
313369,705
399174,387592
399174,263109
399174,531
399174,533
399174,530
93456,49519
93456,207703
93456,116711
93456,324852
98566,272
98566,68721
98566,1930
98566,209112
98566,297762
106646,261023
106646,4771
106646,769
106646,398181
106646,400535
257344,251516
257344,333339
257344,620
257344,27205
257344,603
425,49519
425,10567
425,387592
425,278154
425,17610
585,62211
585,1124
585,339404
585,13374
585,275
454619,3134
454619,357096
454619,281957
454619,156022
454619,238636
455656,10625
455656,89185
455656,272693
455656,19840
455656,37725
310,604
310,9946
310,311
310,145
310,6557
808,809
808,10882
808,10140
808,10020
808,224141
474335,2300
474335,449749
474335,773
474335,83770
474335,1696
18785,10029
18785,429733
18785,627
18785,45243
18785,12593
449176,376867
449176,398818
449176,26280
449176,26933
449176,184352
340022,562
340022,1571
340022,1572
340022,27576
340022,2502
257445,767
257445,671
257445,674
257445,12444
257445,12445
339846,14372
339846,2756
339846,545957
339846,228165
339846,11836
62177,10144
62177,109445
62177,10895
62177,10882
335797,9836
335797,258509
335797,9986
335797,9447
353486,333339
353486,131631
353486,258489
353486,314095
353486,70160
270946,10140
270946,808
270946,812
270946,12
270946,953
224141,10882
224141,321612
224141,150689
224141,809
350,8966
350,9880
350,50619
350,84892
350,449176
387592,60308
387592,9655
214756,250546
214756,72105
214756,11249
214756,11932
159824,129
159824,671
159824,672
159824,675
218746,52449
218746,59861
218746,10830
218746,194
218746,372058
14160,9479
14160,3933
14160,326359
14160,32085
14160,145316
254470,354912
254470,290762
254470,6477
254470,525
181533,12437
181533,122
181533,81
181533,863
181533,1777
179144,12271
179144,627
179144,11801
179144,306819
166426,1865
166426,22
166426,58
166426,285
166426,71805
364689,1265
364689,9986
364689,25475
446894,8989
446894,487283
446894,413644
446894,353997
446894,14220
608,607
608,601
608,395
608,840
608,954
2976,6477
2976,313369
2976,409447
2976,630
2976,525
260514,335797
260514,258509
260514,9986
260514,9447
260514,9598
390043,245891
390043,249070
390043,59967
390043,156022
418827,345
418827,802
418827,10068
418827,4561
418827,53932
72105,862
72105,24420
72105,13523
72105,19913
72105,1024
787,249070
787,956
787,101
787,390043
787,156022
9880,272693
9880,19840
9880,449176
9880,81250
9880,286565
452731,370663
452731,258480
452731,10818
452731,437557
452731,39781
11631,433
